miRNA_id	A1	B1	A2	B2	A3	C1	C2	length
miRNA0282	0	0	0	0	0	0	0	21
miRNA0283	0	0	0	0	0	0	0	21
miRNA0284	530	80	434	85	278	16475	23611	21
miRNA0285	0	0	1	0	0	0	0	21
miRNA0286	1	1	2	0	1	0	0	21
miRNA0287	1	0	0	0	1	0	0	21
miRNA0288	0	0	0	0	0	0	0	21
miRNA0289	0	0	0	0	0	0	0	21
miRNA0290	0	0	0	0	0	0	0	21
miRNA0291	0	0	0	0	0	0	0	21
miRNA0292	3	0	4	1	2	0	0	21
miRNA0293	16	0	14	0	16	3	2	21
miRNA0294	1	0	1	0	2	0	0	21
miRNA0295	6	4	31	0	21	1	4	21
miRNA0296	3	0	2	0	3	0	0	21
miRNA0297	0	0	0	0	0	0	0	21
miRNA0298	0	0	1	0	1	0	1	21
miRNA0299	0	0	0	0	0	0	0	21
miRNA0300	0	0	0	0	0	0	0	21
miRNA0301	4	1	1	0	3	1	0	21
miRNA0302	4	1	1	0	3	1	0	21
miRNA0303	0	0	0	0	0	0	0	21
miRNA0304	1	0	0	0	0	0	1	21
miRNA0305	0	0	0	0	0	0	0	21
miRNA0306	2	0	5	0	2	0	2	21
miRNA0307	0	0	0	0	0	0	0	21
miRNA0308	0	0	0	0	0	0	0	21
miRNA0309	0	0	0	0	0	0	0	21
miRNA0310	0	0	0	0	0	0	0	21
miRNA0311	0	0	0	0	0	0	0	21
miRNA0312	0	1	0	0	0	0	0	21
miRNA0313	29	0	14	0	27	2	3	21
miRNA0314	2	0	10	0	2	1	1	21
miRNA0315	6	0	8	0	8	0	0	21
miRNA0316	0	0	0	0	0	0	0	21
miRNA0317	0	0	0	0	0	0	0	21
miRNA0318	0	0	0	0	0	0	0	21
miRNA0319	2	0	0	0	0	0	0	21
miRNA0320	0	0	0	0	0	0	0	21
miRNA0321	0	0	0	0	0	0	0	21
miRNA0322	3	6	1	2	1	0	1	21
miRNA0323	0	0	1	0	0	0	0	21
miRNA0324	10	4	9	1	5	0	1	21
miRNA0325	54	26	40	20	39	8	4	21
miRNA0326	11762	4134	15498	2263	13953	4231	6229	21
