Gene_id	A1	B1	A2	B2	length
G08697	4	27	7	8	347
G08698	79	195	346	55	1323
G08699	22	52	912	20	1842
G08700	96	111	211	67	891
G08701	2	11	10	0	1461
G08702	101	224	264	65	1752
G08703	185	283	419	80	1452
G08704	2	4	3	0	729
G08705	0	7	3	0	1488
G08706	122	373	260	72	1269
G08707	455	721	833	210	1095
G08708	8	41	17	2	1308
G08709	0	0	0	0	723
G08710	24	120	31	22	1038
G08711	122	372	412	27	678
G08712	17	34	31	3	1002
G08713	62	109	154	16	2028
G08714	127	155	246	32	1311
G08715	39	64	59	7	1272
G08716	11	11	163	20	495
G08717	6	21	38	9	1209
G08718	558	2496	2872	506	1083
G08719	67	208	233	21	1824
G08720	78	915	166	189	1206
G08721	23	109	37	18	1779
G08722	62	111	231	24	1479
G08723	38	69	38	8	588
G08724	23	67	83	15	714
G08725	36	98	165	36	795
G08726	859	1709	3942	775	1515
G08727	2025	4408	2428	1578	894
G08728	727	1345	1698	222	1512
G08729	479	956	1444	233	4194
G08730	12	29	49	5	471
G08731	170	1467	593	295	1938
G08732	12	30	18	3	1800
G08733	283	406	1018	82	1356
G08734	0	6	1	3	1722
G08735	0	0	1	0	606
G08736	1	0	0	2	714
G08737	63	105	111	21	573
G08738	73	139	145	32	1509
G08739	176	453	300	78	1314
G08740	74	84	117	52	705
