Gene_id	A1	A2	B1	B2	A3	B3	length
G000735	0	0	13	0	0	0	1415
G000736	1327	1220	1899	1157	1914	1346	1565.5
G000737	305	289	390	306	371	394	2532
G000738	0	0	0	0	10	0	1263
G000739	6498	8509	10216	8091	8465	14068	646.5
G000740	4243	3784	3724	3341	3752	3848	817
G000741	1	1	1	0	1	0	3206
G000742	3543	3491	3463	2897	3856	3614	2893.5
G000743	439	562	702	468	802	713	631
G000744	103	111	90	114	102	200	966
G000745	1820	1928	3069	2334	2439	2923	3197
G000746	813	834	822	700	1126	1070	897
G000747	1757	2103	3603	2221	3490	2595	1128.5
G000748	770	593	1343	983	1093	1172	4580
G000749	602	605	1300	585	907	793	2798
G000750	218	283	426	336	241	510	2740.5
G000751	0	0	0	0	0	0	3013.5
G000752	2144	2308	5206	3482	3764	4432	2179.5
G000753	1955	2579	1861	1805	2031	2297	855
G000754	0	0	0	0	0	0	1496
G000755	0	0	0	0	0	0	978
G000756	444	569	442	433	385	708	548
G000757	2322	2957	6299	4626	4242	3660	1551
G000758	127	89	301	220	89	193	4490
G000759	6	11	5	0	1	9	749
G000760	0	0	15	54	8	8	4303
G000761	541	707	1752	1012	864	1351	1678
G000762	824	766	838	630	877	957	2604
G000763	32	48	36	11	46	36	2010
G000764	763	673	1167	1045	757	1134	1663
G000765	3605	3605	3057	2187	3406	3651	1286
G000766	1553	2036	6195	3965	2155	4891	692
G000767	1595	2052	4968	3513	2467	4215	1941
G000768	0	0	0	0	0	0	841.5
G000769	0	1	0	0	0	0	3266
G000770	0	0	0	0	0	0	1037.5
G000771	3167	3642	6850	5278	2904	8375	1408
G000772	32	16	0	28	58	6	1630.5
G000773	765	846	1127	697	780	1222	2892.5
G000774	165	102	500	305	297	419	2464
G000775	2164	2343	2021	1583	2134	2593	1292
G000776	1222	1174	1028	885	1119	1220	1220
G000777	880	992	2057	1071	1244	1507	1966
G000778	1642	2097	3098	1953	3151	2458	1016
G000779	0	8	4	0	14	6	4313
G000780	77	150	146	227	159	74	590
G000781	9704	8709	10170	8276	11263	9455	1871
G000782	728	1117	1900	1080	1640	1014	1179
G000783	8	14	56	17	0	5	6313
G000784	6	5	9	1	61	32	1557
G000785	1435	1060	2193	2490	1768	2735	1298
G000786	1428	1590	2113	2120	1918	2405	2529
G000787	289	475	1204	792	981	1089	4697
G000788	1623	1649	2504	2024	2683	2247	2327.5
G000789	684	765	710	364	879	987	589
G000790	1004	914	717	559	752	633	1042
G000791	1523	2010	4869	3238	2079	4104	3289.5
G000792	434	269	716	474	489	539	1083
G000793	719	739	875	1009	701	764	4992.5
G000794	452	251	679	575	295	468	1491
G000795	182	128	108	141	185	104	1435
G000796	457	309	482	382	392	498	814
G000797	3468	3435	3042	3131	4587	2847	750
G000798	473	635	1102	934	602	889	535
G000799	1089	969	1148	985	1160	1396	1109.5
G000800	207	267	208	114	321	143	836
G000801	324	616	1628	1301	718	1563	579
G000802	482	507	634	762	677	786	2383
G000803	1709	1690	511	284	2697	341	906.5
G000804	12	16	33	64	20	21	804.5
G000805	477	566	511	500	483	579	3645.5
G000806	3054	3842	3791	2630	3749	5230	681
G000807	0	3	18	0	0	36	562.5
G000808	2543	2643	6270	4106	4873	3020	736
G000809	4	3	2	1	3	0	408
G000810	1422	1857	3354	2484	2324	3829	811.5
G000811	1121	1298	1250	1526	1405	1441	1998
G000812	0	0	0	0	5	1	2132
G000813	0	0	0	0	0	11	2460
G000814	201	352	276	171	242	159	932
G000815	256	268	649	695	371	684	1703
G000816	1841	2192	1961	1719	2094	2709	915
G000817	0	0	3	0	0	0	2375
G000818	0	0	9	0	0	0	1709
G000819	606	692	2737	1737	1463	1729	2416
G000820	717	911	827	529	1120	878	939.5
G000821	510	519	444	432	456	451	968
G000822	0	0	21	0	11	13	1811
G000823	373	367	646	538	550	510	645
G000824	1892	1489	2480	1923	2076	1748	1833
G000825	0	5	0	0	0	0	606.5
G000826	0	0	0	0	0	0	1520.5
G000827	258	209	59	76	156	70	827
G000828	3988	5299	7424	4434	7217	5736	653.5
G000829	1586	2633	2643	1907	1994	3011	1232.5
G000830	0	0	0	0	0	0	2355
G000831	1159	958	1449	1411	1343	1524	2303
G000832	712	666	638	563	889	664	962
G000833	611	749	1258	754	1046	916	3903
G000834	583	635	1606	1276	992	1543	3487
G000835	695	1159	1471	1335	1495	1666	2243
G000836	203	126	30	57	148	58	885
G000837	184	327	114	75	308	139	3686
G000838	4870	5658	7195	5344	5401	7121	651
G000839	0	14	0	0	0	5	2838.5
G000840	1375	1900	1762	1441	1535	2921	729
G000841	571	755	1642	1072	796	1175	1297
G000842	1948	1707	3941	2710	3049	3601	2510.5
G000843	4671	5973	6069	5049	5189	7660	1406
G000844	1415	1807	1036	917	2213	1001	6468
G000845	910	788	2109	1885	1080	1805	3388.5
G000846	0	0	10	20	0	0	1610.5
G000847	6997	7469	6778	5183	9502	8505	885
G000848	0	0	3	0	0	0	2954.5
G000849	256	199	329	234	214	188	5739
G000850	227	284	546	375	374	459	2881
G000851	18628	20979	12490	12049	15372	18196	691
G000852	252	442	92	68	215	89	1653
G000853	1131	1352	934	754	974	1137	1122
G000854	4142	3780	6657	5682	4670	6339	3124
G000855	3950	3399	3423	3169	4070	3338	2444
G000856	2101	1821	1141	1179	2045	1108	2523.5
G000857	614	420	554	379	662	488	646
G000858	0	0	0	1	0	0	1033
G000859	691	449	758	636	634	655	6125.5
G000860	657	546	1090	613	714	830	1639.5
G000861	553	405	428	230	442	243	1085
G000862	224	222	280	218	217	297	1135.5
G000863	475	584	310	234	551	522	1276
G000864	1204	1546	1466	1061	1626	1342	586
G000865	348	433	999	641	786	860	1275
G000866	3676	3740	1127	592	6725	662	3456.5
G000867	2208	2300	2235	1489	2524	2369	771.5
G000868	1870	2041	2180	1760	2106	1637	579
G000869	0	0	6	0	22	0	1718
G000870	40	30	40	40	68	43	883
G000871	0	0	0	0	0	0	842
G000872	0	0	0	0	4	1	1559
G000873	0	0	0	0	0	0	1340
G000874	1065	1292	5359	3970	1623	7092	715
G000875	0	10	12	0	0	0	3384
G000876	23	20	26	0	15	10	1840
G000877	172	64	491	414	126	317	1745
G000878	815	959	1587	1087	1746	1032	709
G000879	3614	3571	3332	2736	7402	2092	3969
G000880	1629	1265	2706	2080	2196	2215	3283
G000881	0	0	0	0	0	0	1517
G000882	889	988	728	605	819	746	831
G000883	688	576	644	496	880	540	1854
G000884	45	33	8	6	25	28	2169
G000885	12900	12928	9676	9893	12629	9908	1024
G000886	1042	1185	1587	1146	1856	1276	3642.5
G000887	857	780	1245	827	1571	770	3653
G000888	168	251	185	168	190	157	560
G000889	2	0	1	0	0	1	1066
G000890	306	399	1875	1468	473	1750	2337
G000891	401	208	114	101	320	127	576
G000892	0	0	0	0	0	0	2171
G000893	2223	2496	2324	1529	2438	1988	1381
G000894	2064	3229	4409	3760	3760	4321	3247.5
G000895	23	16	36	34	0	11	685
G000896	0	0	9	0	8	9	2360
G000897	37	22	1	0	0	4	757
G000898	2265	1555	2011	1717	2522	1610	4716
G000899	271	552	670	425	615	738	2078.5
G000900	2484	2350	3955	3595	2434	4162	806
G000901	0	0	24	0	2	17	642
G000902	1636	1910	1693	1249	2075	1984	1410.5
G000903	981	935	1384	993	1590	1246	1563
G000904	5931	5209	8566	7883	7978	7401	4741
G000905	453	708	621	494	843	499	1565
HK00004	850	608	284	280	647	427	2157.5
G000906	515	579	719	669	474	778	1067
G000907	523	598	1720	1232	918	1254	7052.5
G000908	4837	6731	9015	7197	6934	9500	3206
G000909	5872	6476	12021	8897	8836	11623	556
G000910	3190	4051	4038	3247	4691	3919	698.5
G000911	4790	5575	8772	7089	6813	9685	883.5
G000912	1565	1834	2477	1651	3924	1858	2379
G000913	1136	923	1513	1226	1065	1578	1551
G000914	864	1168	1497	1265	1782	1019	6908
